Type,Word,Frequency
명사,Meier,3
명사,Zeig,3
명사,Kannst,3
명사,Wohin,3
명사,Ecke,3
명사,Einkaufen,3
명사,Telefon,3
명사,Wann,3
명사,Fachstudium,3
명사,Kirche,3
명사,Schwimmbad,3
명사,Aussagesatz,3
명사,Imperativsatz,3
명사,Paket,3
명사,Minister,3
명사,Scheckkart,3
명사,Klasse,3
명사,Heimat,3
명사,Bundesrepublik,3
명사,Bahnsteig,3
명사,Stimme,3
명사,Verspätung,3
명사,Thema,3
명사,Kellner,3
명사,Museum,3
명사,Verhalten,3
명사,Lachen,3
명사,Frühling,3
명사,Wofür,3
명사,Beginn,3
명사,Temporalsatz,3
명사,Reparatur,3
명사,Meer,3
명사,Kausalsatz,3
명사,Pralin,3
명사,Tennis,3
명사,Modalsätz,3
명사,Weise,3
명사,Kleinstadt,3
명사,Junge,3
명사,Rechtsattribut,3
명사,Komma,3
명사,Hörtext,3
명사,Fassung,2
명사,Mitarbeit,2
명사,Empfehlung,2
명사,Wortart,2
명사,Index,2
명사,Stammforme,2
명사,Mittelstufengrammatik,2
명사,Erwachsene,2
명사,Abfolge,2
명사,Maß,2
명사,Morphologie,2
명사,Fragesätz,2
명사,Präsensformen,2
명사,Verblist,2
명사,Öffn,2
명사,Klingeln,2
명사,Schokolade,2
명사,Familienname,2
명사,Grüne,2
명사,Taschenrechner,2
명사,Mietwohnung,2
명사,Spieler,2
명사,Rücksicht,2
명사,Mitbewohner,2
명사,Fisch,2
명사,Rand,2
명사,Theater,2
명사,Couch,2
명사,Vorsilbe,2
명사,Missling,2
명사,Versuch,2
명사,Journalist,2
명사,Flasche,2
명사,Ferienreise,2
명사,Zettel,2
명사,Tafel,2
명사,Flughafengebäude,2
명사,Flug,2
명사,Landung,2
명사,Innenstadt,2
명사,Gebäude,2
명사,Aufforderung,2
명사,Müller,2
명사,Mund,2
명사,Arm,2
명사,Kochen,2
명사,Ding,2
명사,Alkohol,2
명사,Tablette,2
명사,Spiegel,2
명사,Kauf,2
명사,Arbeitsmöglichkeit,2
명사,Entschuldigung,2
명사,Haushalt,2
명사,Spreche,2
명사,Lage,2
명사,Segelboot,2
명사,Jack,2
명사,Wahl,2
명사,Spiel,2
명사,Bein,2
명사,Abschied,2
명사,Spielplatz,2
명사,Tor,2
명사,Frisör,2
명사,Motor,2
명사,Bibel,2
명사,Gott,2
명사,Streit,2
명사,Wolke,2
명사,Mai,2
명사,Bescheinigung,2
명사,Sekretariat,2
명사,Sport,2
명사,Dreizimmerwohnung,2
명사,Monatsmiet,2
명사,Angebot,2
명사,Einzug,2
명사,Säck,2
명사,Kiste,2
명사,Sonnenlicht,2
명사,Heu,2
명사,Sack,2
명사,Hauptverb,2
명사,Stamm,2
명사,Rakete,2
명사,Kopf,2
명사,Laden,2
명사,Wartezimmer,2
명사,Gestern,2
명사,Italienisch,2
명사,Zurzeit,2
명사,Anekdote,2
명사,Ausnahme,2
명사,Vorzeitigkeit,2
명사,Vermutung,2
명사,Lotto,2
명사,Gymnasium,2
명사,Rückkehr,2
명사,Nordfriesland,2
명사,Krankenpfleger,2
명사,Tätigkeit,2
명사,Wissenschaftler,2
명사,Hausmeister,2
명사,Spielzeug,2
명사,Versicherung,2
명사,Institut,2
명사,Protokoll,2
명사,Abgeordneter,2
명사,Gewerkschaft,2
명사,Schließung,2
명사,Fabrik,2
명사,Presse,2
명사,Passivsätz,2
명사,Täter,2
명사,Aufnahme,2
명사,Batterie,2
명사,Pilot,2
명사,Müll,2
명사,Rohstoff,2
명사,Zeitungsartikel,2
명사,Dolmetscher,2
명사,Zeugin,2
명사,Fähigkeit,2
명사,Erlaubnis,2
명사,Weil,2
명사,Schrift,2
명사,Missverständnis,2
명사,Kontrolle,2
명사,Aufenthaltserlaubnis,2
명사,Termin,2
명사,Erkrankung,2
명사,Leistung,2
명사,Datum,2
명사,Dank,2
명사,Programm,2
명사,Erlaubt,2
명사,Geologe,2
명사,Diplomat,2
명사,Griech,2
명사,Pluralbildung,2
명사,Besonderheit,2
명사,Erganz,2
명사,Messer,2
명사,Löffel,2
명사,Personal,2
명사,Nachbarin,2
명사,Bäcker,2
명사,Zeugnis,2
명사,Kleid,2
명사,Ruf,2
명사,Papier,2
명사,Kindheit,2
명사,Regal,2
명사,Mich,2
명사,Besitzer,2
명사,Buchhandlung,2
명사,Banane,2
명사,Sammlung,2
명사,Diskussion,2
명사,Erzählung,2
명사,Studentinn,2
명사,Zweit,2
명사,Arbeitslosigkeit,2
명사,Schritt,2
명사,Gerät,2
명사,Räd,2
명사,Helfer,2
명사,Glücksspiele,2
명사,Tulpe,2
명사,Vorsicht,2
명사,Kilo,2
명사,Krawatte,2
명사,Neue,2
명사,Studierender,2
명사,Nominal,2
명사,Beamter,2
명사,Bekannter,2
명사,Zahl,2
명사,Kontakt,2
명사,Medikament,2
명사,Minimum,2
명사,Tennisspieler,2
명사,Kontinent,2
명사,Komparative,2
명사,Bleistift,2
명사,Fernsehturm,2
명사,Pronomen,2
명사,Anruf,2
명사,Rente,2
명사,Womit,2
명사,Wieso,2
명사,Wozu,2
명사,Possessivpronom,2
명사,Gehört,2
명사,Rektor,2
명사,Schwiegerelter,2
명사,Präpositionen,2
명사,Park,2
명사,Geschäft,2
명사,Dezember,2
명사,Sprachprüfung,2
명사,Nähe,2
명사,Jugendliche,2
명사,Armee,2
명사,Badezimmer,2
명사,Satzende,2
명사,Einstufungstest,2
명사,Eisenbahn,2
명사,Arbeitsstelle,2
명사,Reiseführer,2
명사,Gastgeber,2
명사,Briefmark,2
명사,Mauer,2
명사,Schreibtisch,2
명사,Stein,2
명사,Verbform,2
명사,Welch,2
명사,Verkäufer,2
명사,Englisch,2
명사,Türkisch,2
명사,Armut,2
명사,Kranke,2
명사,Schmerz,2
명사,Hitze,2
명사,Witze,2
명사,Fleiß,2
명사,Erdbeben,2
명사,Professorin,2
명사,Radfahren,2
명사,Hoffnung,2
명사,Korrelat,2
명사,Woran,2
명사,Worüber,2
명사,Sommerferien,2
명사,Infinitivkonstruktion,2
명사,Astronomie,2
명사,Gleis,2
명사,Sonnenbrille,2
명사,Deutschlern,2
명사,Untersuchung,2
명사,Karte,2
명사,Training,2
명사,Adversativsatz,2
명사,Linkshänd,2
명사,Uni,2
명사,Heirat,2
명사,Endpunkt,2
명사,Panne,2
명사,Zweck,2
명사,Kredit,2
명사,Führerschein,2
명사,Flügel,2
명사,Gegenteil,2
명사,Taxifahrer,2
명사,Notebook,2
명사,Sportler,2
명사,Regenschirm,2
명사,Japaner,2
명사,Müsste,2
명사,Grenze,2
명사,Konjunktio,2
명사,Diplomprüfung,2
명사,Doktorarbeit,2
명사,Diplom,2
명사,Praktikantenstelle,2
명사,Stellungsregel,2
명사,Verständigungsproblem,2
명사,Stadtstaat,2
명사,Handwerk,2
명사,Beziehung,2
명사,Verbindung,2
명사,Schneit,2
명사,Muttersprache,2
명사,Satzgliedern,2
명사,Eigenname,2
명사,Genus,2
명사,Rolle,2
명사,Anne,2
명사,Mitschüler,2
명사,Aztek,2
명사,Golf,2
명사,Feuerwehr,2
명사,Gebühr,2
명사,Lust,2
명사,Freizeit,2
명사,Negationswörter,2
명사,Rabe,2
명사,Schnabel,2
명사,Koreanerin,2
명사,Chilene,2
명사,Streichholz,2
명사,Physiker,2
명사,Geselligkeit,2
명사,Besucherinn,2
명사,Zitat,2
명사,Begleiter,2
명사,Nen,2
명사,Lösungsheft,2
명사,Leseverstehen,2
명사,Transkription,2
명사,Übungsgr,1
명사,Heil,1
명사,Nominalisiert,1
명사,Eräpoaitinnen,1
명사,Druckerei,1
명사,Wiesbaum,1
명사,Nebensätze,1
명사,Zuspruch,1
명사,Gleich,1
명사,Material,1
명사,Kurzregel,1
명사,Lernlist,1
명사,Praxis,1
명사,Lehrgebiet,1
명사,Studienkolleg,1
명사,Ursprung,1
명사,Ten,1
명사,Quelle,1
명사,Veröffentlichung,1
명사,Zielsetzung,1
